feature,importance_gain,fold
connection_to_LH_SomMotB_Aud_2,0.009300433,3
connection_to_LH_ContB_PFClv_2,0.009231872,3
connection_to_LH_DefaultB_PFCv_3,0.009183693,3
connection_to_pGP-lh,0.009177963,3
connection_to_LH_DefaultB_PFCv_4,0.00907854,3
connection_to_LH_DefaultB_Temp_4,0.009043399,3
connection_to_lAMY-lh,0.0089528905,3
connection_to_LH_SomMotA_1,0.008907708,3
connection_to_LH_SomMotB_Cent_1,0.0088392915,3
connection_to_pCAU-lh,0.0087941475,3
connection_to_LH_DorsAttnA_TempOcc_1,0.00876353,3
connection_to_LH_SomMotB_Aud_3,0.008740318,3
connection_to_LH_DorsAttnA_SPL_2,0.008740128,3
connection_to_LH_SomMotB_S2_3,0.008734035,3
connection_to_LH_SalVentAttnB_PFCl_1,0.008733811,3
connection_to_LH_LimbicA_TempPole_2,0.00871397,3
connection_to_aPUT-lh,0.008666917,3
connection_to_LH_LimbicB_OFC_2,0.008616636,3
connection_to_LH_ContA_IPS_2,0.0085908305,3
connection_to_LH_SomMotB_Aud_1,0.00858032,3
connection_to_LH_ContA_PFCd_1,0.008572228,3
connection_to_LH_DefaultA_pCunPCC_3,0.008553361,3
connection_to_THA-DA-lh,0.008546769,3
connection_to_LH_DefaultC_Rsp_1,0.008504543,3
connection_to_mAMY-lh,0.008498032,3
connection_to_LH_ContA_PFCl_3,0.0084957145,3
connection_to_LH_VisPeri_ExStrInf_2,0.008449686,3
connection_to_LH_DefaultA_PFCd_1,0.008418757,3
connection_to_LH_ContC_pCun_1,0.008354709,3
connection_to_LH_DefaultB_PFCv_2,0.008340249,3
connection_to_LH_DorsAttnB_PostC_4,0.00826167,3
connection_to_LH_DefaultB_Temp_1,0.008261552,3
connection_to_LH_ContB_IPL_1,0.008213613,3
connection_to_LH_SalVentAttnB_Ins_1,0.008130345,3
connection_to_LH_DefaultA_pCunPCC_2,0.008089061,3
connection_to_LH_TempPar_1,0.008053173,3
connection_to_LH_DorsAttnA_SPL_1,0.008051025,3
connection_to_LH_DorsAttnB_PostC_3,0.007984179,3
connection_to_LH_LimbicA_TempPole_3,0.007977106,3
connection_to_LH_SomMotB_S2_1,0.007813652,3
connection_to_LH_SomMotA_7,0.0077879694,3
connection_to_LH_DorsAttnA_ParOcc_1,0.0077503375,3
connection_to_LH_SalVentAttnA_ParOper_1,0.007689191,3
connection_to_LH_VisCent_Striate_1,0.007666597,3
connection_to_LH_ContB_Temp_1,0.007513011,3
connection_to_LH_SalVentAttnA_FrMed_1,0.007472698,3
connection_to_NAc-core-lh,0.007465526,3
connection_to_LH_DorsAttnA_TempOcc_2,0.007453791,3
connection_to_LH_SomMotA_2,0.0073522176,3
connection_to_LH_SalVentAttnA_FrOper_2,0.0073354696,3
connection_to_LH_ContA_Temp_1,0.0072262227,3
connection_to_LH_SalVentAttnA_ParMed_1,0.0071949414,3
connection_to_LH_ContB_PFClv_1,0.007134282,3
connection_to_LH_DefaultB_PFCd_4,0.00704936,3
connection_to_LH_SomMotA_6,0.007027507,3
connection_to_LH_TempPar_2,0.0069677425,3
connection_to_LH_DefaultB_IPL_1,0.0068921605,3
connection_to_aCAU-lh,0.00685854,3
connection_to_aHIP-lh,0.0068476237,3
connection_to_LH_DefaultB_Temp_2,0.0068372767,3
connection_to_LH_DorsAttnA_SPL_3,0.0067415633,3
connection_to_LH_ContA_IPS_1,0.0067311283,3
connection_to_LH_DefaultB_PFCv_1,0.0066486844,3
connection_to_LH_SomMotA_5,0.006621394,3
connection_to_LH_VisPeri_ExStrInf_3,0.006552424,3
connection_to_LH_VisCent_ExStr_1,0.006475542,3
connection_to_LH_SalVentAttnA_Ins_1,0.0064465017,3
connection_to_LH_DefaultB_PFCd_3,0.0063215126,3
connection_to_LH_SomMotB_Cent_2,0.0062746927,3
connection_to_LH_DefaultC_PHC_1,0.0062014875,3
connection_to_LH_ContC_pCun_2,0.006093611,3
connection_to_LH_SalVentAttnB_IPL_1,0.006020897,3
connection_to_LH_DefaultA_IPL_1,0.0059670196,3
connection_to_LH_ContA_PFCl_2,0.005956881,3
connection_to_LH_ContA_PFClv_1,0.005849145,3
connection_to_LH_DefaultC_IPL_1,0.0057823597,3
connection_to_LH_SalVentAttnB_PFCmp_1,0.005383147,3
connection_to_LH_DefaultA_PFCm_2,0.0053582448,3
connection_to_LH_VisPeri_ExStrSup_1,0.0043666232,3
