region_name,misclassification_rate_rest,misclassification_rate_task,error_increase
RH_LimbicB_OFC_4,0.1517857142857143,0.20999999999999996,0.05821428571428566
LH_SalVentAttnA_FrMed_1,0.0267857142857143,0.08499999999999996,0.05821428571428566
LH_ContB_PFCl_1,0.0580357142857143,0.11499999999999999,0.05696428571428569
LH_DefaultA_PFCm_2,0.0535714285714286,0.10999999999999999,0.056428571428571384
LH_DorsAttnA_SPL_2,0.0401785714285714,0.09499999999999997,0.054821428571428577
NAc-core-rh,0.1607142857142857,0.21499999999999997,0.05428571428571427
aCAU-lh,0.0758928571428571,0.13,0.05410714285714291
LH_VisPeri_ExStrInf_2,0.0714285714285714,0.125,0.0535714285714286
LH_SomMotA_2,0.0714285714285714,0.125,0.0535714285714286
RH_LimbicB_OFC_2,0.1026785714285714,0.15500000000000003,0.05232142857142863
LH_DefaultC_PHC_1,0.0580357142857143,0.10999999999999999,0.051964285714285685
LH_ContC_Cingp_1,0.008928571428571397,0.06000000000000005,0.051071428571428656
LH_SomMotA_4,0.044642857142857095,0.09499999999999997,0.05035714285714288
RH_VisPeri_StriCal_1,0.0,0.050000000000000044,0.050000000000000044
RH_LimbicA_TempPole_4,0.1205357142857143,0.17000000000000004,0.04946428571428574
LH_SalVentAttnA_ParOper_1,0.03125,0.07999999999999996,0.04874999999999996
RH_VisCent_ExStr_1,0.0267857142857143,0.07499999999999996,0.048214285714285654
LH_DefaultA_PFCm_3,0.0267857142857143,0.07499999999999996,0.048214285714285654
LH_SomMotA_5,0.0267857142857143,0.07499999999999996,0.048214285714285654
LH_DefaultB_PFCd_4,0.0625,0.10999999999999999,0.04749999999999999
LH_DefaultC_Rsp_1,0.017857142857142905,0.06499999999999995,0.04714285714285704
RH_DorsAttnA_TempOcc_1,0.0535714285714286,0.09999999999999998,0.046428571428571375
RH_SomMotB_Cent_1,0.008928571428571397,0.05500000000000005,0.04607142857142865
LH_DorsAttnA_ParOcc_1,0.1339285714285714,0.18000000000000005,0.04607142857142865
RH_ContB_Temp_2,0.0892857142857143,0.135,0.04571428571428571
RH_VisPeri_ExStrInf_1,0.044642857142857095,0.08999999999999997,0.045357142857142874
RH_SalVentAttnA_ParMed_2,0.044642857142857095,0.08999999999999997,0.045357142857142874
LH_ContC_pCun_2,0.0357142857142857,0.07999999999999996,0.04428571428571426
RH_DefaultC_PHC_1,0.0669642857142857,0.10999999999999999,0.04303571428571429
LH_DefaultB_PFCd_1,0.022321428571428603,0.06499999999999995,0.042678571428571344
