region_idx,region_name,network,hemisphere,accuracy,error_rate,precision,recall,f1_score,fnr,fpr,n_samples,n_correct,n_errors,n_false_positives
106,RH_VisPeri_ExStrInf_1,VisPeri,right,0.965,0.03500000000000003,0.9846938775510204,0.965,0.9747474747474748,0.035,6.493506493506494e-05,200,193,7,3
107,RH_VisPeri_ExStrInf_2,VisPeri,right,0.91,0.08999999999999997,0.978494623655914,0.91,0.9430051813471503,0.09,8.658008658008658e-05,200,182,18,4
108,RH_VisPeri_StriCal_1,VisPeri,right,0.98,0.020000000000000018,1.0,0.98,0.98989898989899,0.02,0.0,200,196,4,0
109,RH_VisPeri_ExStrSup_1,VisPeri,right,0.865,0.135,0.9774011299435028,0.865,0.9177718832891246,0.135,8.658008658008658e-05,200,173,27,4
110,RH_VisPeri_ExStrSup_2,VisPeri,right,0.965,0.03500000000000003,0.9897435897435898,0.965,0.9772151898734178,0.035,4.329004329004329e-05,200,193,7,2
111,RH_VisPeri_ExStrSup_3,VisPeri,right,0.945,0.05500000000000005,0.9593908629441624,0.945,0.9521410579345088,0.055,0.00017316017316017316,200,189,11,8
112,RH_SomMotA_1,SomMotA,right,0.98,0.020000000000000018,0.98,0.98,0.98,0.02,8.658008658008658e-05,200,196,4,4
113,RH_SomMotA_2,SomMotA,right,0.945,0.05500000000000005,0.945,0.945,0.945,0.055,0.0002380952380952381,200,189,11,11
114,RH_SomMotA_3,SomMotA,right,0.95,0.050000000000000044,0.9595959595959596,0.95,0.9547738693467336,0.05,0.00017316017316017316,200,190,10,8
115,RH_SomMotA_4,SomMotA,right,0.975,0.025000000000000022,0.9948979591836735,0.975,0.984848484848485,0.025,2.1645021645021645e-05,200,195,5,1
116,RH_SomMotA_5,SomMotA,right,0.96,0.040000000000000036,0.897196261682243,0.96,0.927536231884058,0.04,0.0004761904761904762,200,192,8,22
117,RH_SomMotA_6,SomMotA,right,1.0,0.0,0.9900990099009901,1.0,0.9950248756218906,0.0,4.329004329004329e-05,200,200,0,2
118,RH_SomMotA_7,SomMotA,right,0.94,0.06000000000000005,0.8867924528301887,0.94,0.912621359223301,0.06,0.0005194805194805195,200,188,12,24
119,RH_SomMotA_8,SomMotA,right,0.955,0.04500000000000004,0.9597989949748744,0.955,0.9573934837092732,0.045,0.00017316017316017316,200,191,9,8
120,RH_SomMotA_9,SomMotA,right,0.96,0.040000000000000036,0.9411764705882353,0.96,0.9504950495049505,0.04,0.00025974025974025974,200,192,8,12
121,RH_SomMotA_10,SomMotA,right,0.985,0.015000000000000013,0.9899497487437185,0.985,0.9874686716791979,0.015,4.329004329004329e-05,200,197,3,2
122,RH_SomMotA_11,SomMotA,right,0.935,0.06499999999999995,1.0,0.935,0.9664082687338501,0.065,0.0,200,187,13,0
123,RH_SomMotB_Aud_1,SomMotB,right,0.895,0.10499999999999998,0.9675675675675676,0.895,0.92987012987013,0.105,0.00012987012987012987,200,179,21,6
