region_i_idx,region_j_idx,region_i,region_j,network_i,network_j,hemisphere_i,hemisphere_j,asymmetry,i_to_j_rate,j_to_i_rate,asymmetry_ratio
20,125,LH_SomMotB_Aud_1,RH_SomMotB_S2_1,SomMotB,SomMotB,left,right,-0.008928571428571428,0.0,0.008928571428571428,0.0
55,209,LH_LimbicA_TempPole_4,NAc-core-rh,LimbicA,Accumbens_core,left,right,-0.008928571428571428,0.0,0.008928571428571428,0.0
55,210,LH_LimbicA_TempPole_4,pGP-rh,LimbicA,Pallidum_post,left,right,0.008928571428571428,0.013392857142857142,0.004464285714285714,3.0
55,224,LH_LimbicA_TempPole_4,NAc-shell-lh,LimbicA,Accumbens_shell,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
56,83,LH_ContA_Temp_1,LH_DefaultB_Temp_2,ContA,DefaultB,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
56,86,LH_ContA_Temp_1,LH_DefaultB_IPL_1,ContA,DefaultB,left,left,-0.008928571428571428,0.0,0.008928571428571428,0.0
56,92,LH_ContA_Temp_1,LH_DefaultB_PFCv_2,ContA,DefaultB,left,left,-0.008928571428571428,0.0,0.008928571428571428,0.0
56,101,LH_ContA_Temp_1,RH_VisCent_ExStr_2,ContA,VisCent,left,right,-0.008928571428571428,0.0,0.008928571428571428,0.0
56,226,LH_ContA_Temp_1,pGP-lh,ContA,Pallidum_post,left,left,-0.008928571428571428,0.0,0.008928571428571428,0.0
57,171,LH_ContA_IPS_1,RH_ContB_Temp_2,ContA,ContB,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
59,63,LH_ContA_IPS_3,LH_ContA_PFCl_2,ContA,ContA,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
60,99,LH_ContA_PFCd_1,LH_TempPar_2,ContA,TempPar,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
61,68,LH_ContA_PFClv_1,LH_ContB_PFCl_1,ContA,ContB,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
63,169,LH_ContA_PFCl_2,RH_ContA_Cingm_1,ContA,ContA,left,right,-0.008928571428571428,0.0,0.008928571428571428,0.0
65,208,LH_ContA_Cingm_1,NAc-shell-rh,ContA,Accumbens_shell,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
65,211,LH_ContA_Cingm_1,aGP-rh,ContA,Pallidum_ant,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
65,227,LH_ContA_Cingm_1,aGP-lh,ContA,Pallidum_ant,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
66,86,LH_ContB_Temp_1,LH_DefaultB_IPL_1,ContB,DefaultB,left,left,-0.008928571428571428,0.0,0.008928571428571428,0.0
67,99,LH_ContB_IPL_1,LH_TempPar_2,ContB,TempPar,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
67,211,LH_ContB_IPL_1,aGP-rh,ContB,Pallidum_ant,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
68,217,LH_ContB_PFCl_1,pHIP-lh,ContB,Hippocampus_post,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
70,211,LH_ContB_PFClv_2,aGP-rh,ContB,Pallidum_ant,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
