region_idx,region_name,network,hemisphere,accuracy,error_rate,precision,recall,f1_score,fnr,fpr,n_samples,n_correct,n_errors,n_false_positives
115,RH_SomMotA_4,SomMotA,right,0.9598214285714286,0.0401785714285714,0.9817351598173516,0.9598214285714286,0.9706546275395034,0.04017857142857143,7.730364873222017e-05,224,215,9,4
116,RH_SomMotA_5,SomMotA,right,0.9330357142857143,0.0669642857142857,0.9330357142857143,0.9330357142857143,0.9330357142857143,0.06696428571428571,0.0002898886827458256,224,209,15,15
117,RH_SomMotA_6,SomMotA,right,0.9642857142857143,0.0357142857142857,0.9908256880733946,0.9642857142857143,0.9773755656108598,0.03571428571428571,3.865182436611008e-05,224,216,8,2
118,RH_SomMotA_7,SomMotA,right,0.9553571428571429,0.044642857142857095,0.9385964912280702,0.9553571428571429,0.9469026548672567,0.044642857142857144,0.00027056277056277056,224,214,10,14
119,RH_SomMotA_8,SomMotA,right,0.9419642857142857,0.0580357142857143,0.9590909090909091,0.9419642857142857,0.9504504504504505,0.05803571428571429,0.00017393320964749536,224,211,13,9
120,RH_SomMotA_9,SomMotA,right,0.9508928571428571,0.049107142857142905,0.9594594594594594,0.9508928571428571,0.9551569506726457,0.049107142857142856,0.00017393320964749536,224,213,11,9
121,RH_SomMotA_10,SomMotA,right,0.9732142857142857,0.0267857142857143,0.9775784753363229,0.9732142857142857,0.9753914988814317,0.026785714285714284,9.66295609152752e-05,224,218,6,5
122,RH_SomMotA_11,SomMotA,right,0.96875,0.03125,0.9730941704035875,0.96875,0.9709172259507831,0.03125,0.00011595547309833024,224,217,7,6
123,RH_SomMotB_Aud_1,SomMotB,right,0.9464285714285714,0.0535714285714286,0.9724770642201835,0.9464285714285714,0.9592760180995474,0.05357142857142857,0.00011595547309833024,224,212,12,6
124,RH_SomMotB_Aud_2,SomMotB,right,0.9330357142857143,0.0669642857142857,0.954337899543379,0.9330357142857143,0.943566591422122,0.06696428571428571,0.0001932591218305504,224,209,15,10
125,RH_SomMotB_S2_1,SomMotB,right,0.9330357142857143,0.0669642857142857,0.9720930232558139,0.9330357142857143,0.9521640091116174,0.06696428571428571,0.00011595547309833024,224,209,15,6
126,RH_SomMotB_S2_2,SomMotB,right,0.9508928571428571,0.049107142857142905,0.9770642201834863,0.9508928571428571,0.9638009049773757,0.049107142857142856,9.66295609152752e-05,224,213,11,5
127,RH_SomMotB_S2_3,SomMotB,right,0.96875,0.03125,0.9819004524886877,0.96875,0.9752808988764045,0.03125,7.730364873222017e-05,224,217,7,4
128,RH_SomMotB_S2_4,SomMotB,right,0.9642857142857143,0.0357142857142857,0.9908256880733946,0.9642857142857143,0.9773755656108598,0.03571428571428571,3.865182436611008e-05,224,216,8,2
129,RH_SomMotB_Cent_1,SomMotB,right,0.9821428571428571,0.017857142857142905,1.0,0.9821428571428571,0.9909909909909909,0.017857142857142856,0.0,224,220,4,0
130,RH_DorsAttnA_TempOcc_1,DorsAttnA,right,0.9419642857142857,0.0580357142857143,0.9590909090909091,0.9419642857142857,0.9504504504504505,0.05803571428571429,0.00017393320964749536,224,211,13,9
131,RH_DorsAttnA_ParOcc_1,DorsAttnA,right,0.8794642857142857,0.1205357142857143,0.9078341013824884,0.8794642857142857,0.8934240362811792,0.12053571428571429,0.0003865182436611008,224,197,27,20
132,RH_DorsAttnA_SPL_1,DorsAttnA,right,0.9508928571428571,0.049107142857142905,0.9726027397260274,0.9508928571428571,0.9616252821670428,0.049107142857142856,0.00011595547309833024,224,213,11,6
133,RH_DorsAttnA_SPL_2,DorsAttnA,right,0.9598214285714286,0.0401785714285714,0.9598214285714286,0.9598214285714286,0.9598214285714286,0.04017857142857143,0.00017393320964749536,224,215,9,9
134,RH_DorsAttnA_SPL_3,DorsAttnA,right,0.9553571428571429,0.044642857142857095,0.9553571428571429,0.9553571428571429,0.9553571428571429,0.044642857142857144,0.0001932591218305504,224,214,10,10
135,RH_DorsAttnA_SPL_4,DorsAttnA,right,0.9598214285714286,0.0401785714285714,0.9817351598173516,0.9598214285714286,0.9706546275395034,0.04017857142857143,7.730364873222017e-05,224,215,9,4
136,RH_DorsAttnB_PostC_1,DorsAttnB,right,0.9508928571428571,0.049107142857142905,0.9770642201834863,0.9508928571428571,0.9638009049773757,0.049107142857142856,9.66295609152752e-05,224,213,11,5
137,RH_DorsAttnB_PostC_2,DorsAttnB,right,0.9196428571428571,0.0803571428571429,0.9406392694063926,0.9196428571428571,0.9300225733634311,0.08035714285714286,0.0002512368583797155,224,206,18,13
138,RH_DorsAttnB_PostC_3,DorsAttnB,right,0.9732142857142857,0.0267857142857143,0.9775784753363229,0.9732142857142857,0.9753914988814317,0.026785714285714284,9.66295609152752e-05,224,218,6,5
139,RH_DorsAttnB_PostC_4,DorsAttnB,right,0.9732142857142857,0.0267857142857143,0.9688888888888889,0.9732142857142857,0.9710467706013364,0.026785714285714284,0.00013528138528138528,224,218,6,7
140,RH_DorsAttnB_FEF_1,DorsAttnB,right,0.9151785714285714,0.0848214285714286,0.8798283261802575,0.9151785714285714,0.8971553610503281,0.08482142857142858,0.0005411255411255411,224,205,19,28
141,RH_SalVentAttnA_ParOper_1,SalVentAttnA,right,0.9821428571428571,0.017857142857142905,0.9865470852017937,0.9821428571428571,0.9843400447427293,0.017857142857142856,5.797773654916512e-05,224,220,4,3
142,RH_SalVentAttnA_PrC_1,SalVentAttnA,right,0.8303571428571429,0.1696428571428571,0.7782426778242678,0.8303571428571429,0.8034557235421167,0.16964285714285715,0.0010242733457019172,224,186,38,53
143,RH_SalVentAttnA_Ins_1,SalVentAttnA,right,0.8348214285714286,0.1651785714285714,0.763265306122449,0.8348214285714286,0.7974413646055437,0.16517857142857142,0.0011209029066171924,224,187,37,58
144,RH_SalVentAttnA_Ins_2,SalVentAttnA,right,0.90625,0.09375,0.9398148148148148,0.90625,0.9227272727272727,0.09375,0.0002512368583797155,224,203,21,13
