region_idx,region_name,network,hemisphere,cv_error_rate,task_error_rate,error_increase,relative_increase_pct
138,RH_DorsAttnB_PostC_3,DorsAttnB,right,0.0267857142857143,0.03500000000000003,0.00821428571428573,30.66666655217782
139,RH_DorsAttnB_PostC_4,DorsAttnB,right,0.0267857142857143,0.015000000000000013,-0.011785714285714288,-43.99999983573332
140,RH_DorsAttnB_FEF_1,DorsAttnB,right,0.0848214285714286,0.13,0.0451785714285714,53.26315783194233
141,RH_SalVentAttnA_ParOper_1,SalVentAttnA,right,0.017857142857142905,0.06000000000000005,0.04214285714285715,235.99999867839938
142,RH_SalVentAttnA_PrC_1,SalVentAttnA,right,0.1696428571428571,0.41500000000000004,0.24535714285714294,144.631578862112
143,RH_SalVentAttnA_Ins_1,SalVentAttnA,right,0.1651785714285714,0.245,0.0798214285714286,48.324324295068536
144,RH_SalVentAttnA_Ins_2,SalVentAttnA,right,0.09375,0.14500000000000002,0.05125000000000002,54.66666660835558
145,RH_SalVentAttnA_FrOper_1,SalVentAttnA,right,0.017857142857142905,0.08499999999999996,0.06714285714285706,375.9999978943985
146,RH_SalVentAttnA_FrMed_1,SalVentAttnA,right,0.03125,0.03500000000000003,0.003750000000000031,11.9999999616001
147,RH_SalVentAttnA_ParMed_1,SalVentAttnA,right,0.1428571428571429,0.15500000000000003,0.012142857142857122,8.499999994049983
148,RH_SalVentAttnA_ParMed_2,SalVentAttnA,right,0.0580357142857143,0.040000000000000036,-0.018035714285714266,-31.0769230233751
149,RH_SalVentAttnA_FrMed_2,SalVentAttnA,right,0.0669642857142857,0.07999999999999996,0.013035714285714262,19.466666637596415
150,RH_SalVentAttnB_IPL_1,SalVentAttnB,right,0.0892857142857143,0.07499999999999996,-0.014285714285714346,-15.999999982080066
151,RH_SalVentAttnB_PFClv_1,SalVentAttnB,right,0.0669642857142857,0.08499999999999996,0.018035714285714266,26.933333293112867
152,RH_SalVentAttnB_PFCl_1,SalVentAttnB,right,0.0535714285714286,0.06000000000000005,0.00642857142857145,11.999999977600034
153,RH_SalVentAttnB_Ins_1,SalVentAttnB,right,0.1205357142857143,0.05500000000000005,-0.06553571428571425,-54.370370325263075
154,RH_SalVentAttnB_Ins_2,SalVentAttnB,right,0.044642857142857095,0.06499999999999995,0.02035714285714285,45.59999989785604
155,RH_SalVentAttnB_PFCmp_1,SalVentAttnB,right,0.0580357142857143,0.06999999999999995,0.01196428571428565,20.615384579862607
156,RH_LimbicB_OFC_1,LimbicB,right,0.0982142857142857,0.07499999999999996,-0.023214285714285743,-23.636363612297558
157,RH_LimbicB_OFC_2,LimbicB,right,0.0803571428571429,0.040000000000000036,-0.04035714285714287,-50.22222215972345
158,RH_LimbicB_OFC_3,LimbicB,right,0.022321428571428603,0.06999999999999995,0.04767857142857135,213.59999904307134
