region_id,region_name,network,accuracy_multinomial,accuracy_ovr,ovr_advantage
86,LH_DefaultB_IPL_1,DefaultB,0.8928571428571429,0.8973214285714286,0.004464285714285698
83,LH_DefaultB_Temp_2,DefaultB,0.8794642857142857,0.8392857142857143,-0.0401785714285714
115,pCAU-lh,Subcortical,0.875,0.8794642857142857,0.004464285714285698
113,pPUT-lh,Subcortical,0.8705357142857143,0.875,0.004464285714285698
108,NAc-shell-lh,Subcortical,0.8660714285714286,0.8660714285714286,0.0
64,LH_ContA_PFCl_3,ContA,0.8660714285714286,0.8616071428571429,-0.004464285714285698
70,LH_ContB_PFClv_2,ContB,0.8660714285714286,0.84375,-0.022321428571428603
99,LH_TempPar_2,TempPar,0.8526785714285714,0.8660714285714286,0.013392857142857206
8,LH_VisPeri_ExStrInf_3,VisPeri,0.8392857142857143,0.8169642857142857,-0.022321428571428603
103,mAMY-lh,Subcortical,0.8258928571428571,0.8303571428571429,0.0044642857142858094
50,LH_LimbicB_OFC_1,LimbicB,0.8214285714285714,0.8169642857142857,-0.004464285714285698
106,THA-VA-lh,Subcortical,0.8214285714285714,0.8080357142857143,-0.013392857142857095
92,LH_DefaultB_PFCv_2,DefaultB,0.8169642857142857,0.8080357142857143,-0.008928571428571397
52,LH_LimbicA_TempPole_1,LimbicA,0.8169642857142857,0.8258928571428571,0.008928571428571397
54,LH_LimbicA_TempPole_3,LimbicA,0.8035714285714286,0.8080357142857143,0.004464285714285698
102,lAMY-lh,Subcortical,0.7991071428571429,0.8214285714285714,0.022321428571428492
53,LH_LimbicA_TempPole_2,LimbicA,0.7857142857142857,0.7589285714285714,-0.0267857142857143
105,THA-VP-lh,Subcortical,0.7857142857142857,0.7633928571428571,-0.022321428571428603
107,THA-DA-lh,Subcortical,0.7678571428571429,0.78125,0.013392857142857095
65,LH_ContA_Cingm_1,ContA,0.75,0.71875,-0.03125
101,pHIP-lh,Subcortical,0.7366071428571429,0.7053571428571429,-0.03125
104,THA-DP-lh,Subcortical,0.7276785714285714,0.6875,-0.0401785714285714
55,LH_LimbicA_TempPole_4,LimbicA,0.6875,0.6607142857142857,-0.0267857142857143
110,pGP-lh,Subcortical,0.6294642857142857,0.5535714285714286,-0.0758928571428571
111,aGP-lh,Subcortical,0.5580357142857143,0.4910714285714285,-0.06696428571428581
